127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.004813
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.006648
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.019607
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.017890
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.013295
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.038801
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.002497
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.019674
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.034496
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.008875
127.0.0.1, 2018-04-24 12:20:35, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000951
127.0.0.1, 2018-04-24 12:20:54, GET, /start/default/add, HTTP/1.1, 200, 0.071270
127.0.0.1, 2018-04-24 12:20:54, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.004976
127.0.0.1, 2018-04-24 12:21:00, GET, /start/default/index, HTTP/1.1, 200, 0.033632
127.0.0.1, 2018-04-24 12:21:00, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.008814
127.0.0.1, 2018-04-24 12:21:00, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001022
127.0.0.1, 2018-04-24 12:21:00, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.028508
